OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
dm3ConfigRelays,1.3.6.1.4.1.318.1.1.7.2.5,,,objectidentity,,""
dm3ConfigOutputRelays,1.3.6.1.4.1.318.1.1.7.2.5.1,,,objectidentity,,""
dm3ConfigOutRlyTableSize,1.3.6.1.4.1.318.1.1.7.2.5.1.1,integer,read-only,objecttype,scalar,"The number of DC powerplant Output Relays controllable by this IP address."
dm3ConfigOutRlyTable,1.3.6.1.4.1.318.1.1.7.2.5.1.2,,no-access,objecttype,table,"Allows for accessing settings of the Output Relays. The number of entries is contained in the dm3ConfigOutRlyTableSize OID."
dm3ConfigOutRlyEntry,1.3.6.1.4.1.318.1.1.7.2.5.1.2.1,,no-access,objecttype,row,"The output relay to configure."
dm3ConfigOutRlyIndex,1.3.6.1.4.1.318.1.1.7.2.5.1.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant output relay."
dm3ConfigOutRlyName,1.3.6.1.4.1.318.1.1.7.2.5.1.2.1.2,displaystring,read-write,objecttype,column,"The name of the output relay. The maximum value is 16 characters."
dm3ConfigOutRlyDelay,1.3.6.1.4.1.318.1.1.7.2.5.1.2.1.3,integer,read-write,objecttype,column,"Output Relay Delay. This OID represents the time delay from the initiation of an output relay action to when the output relay action does occur. If the alarm condition disappears before the end of the delay, no action will occur. Delay for Major and Minor alarms is not configurable and is always set to 0. Values are represented in hundredths of seconds. Attempts to set the value above or below the acceptable range of the powerplant will cause the value to be set at the high or low point of the range respectively."
dm3ConfigOutRlyAlarm,1.3.6.1.4.1.318.1.1.7.2.5.1.2.1.4,integer,read-write,objecttype,column,"Output Relay Alarm. This setting indicates what action to perform in the event of an output relay alarm condition; Setting this OID to alarmIgnore (1) results in the alarm condition being ignored. Setting this OID to alarmRelay1 (2) causes relay 1 to be activated for an alarm condition. Setting this OID to alarmRelay2 (3) causes relay 2 to be activated for an alarm condition. Setting this OID to alarmRelay3 (4) causes relay 3 to be activated for an alarm condition. Setting this OID to alarmRelay4 (5) causes relay 4 to be activated for an alarm condition. Setting this OID to alarmRelay5 (6) causes relay 5 to be activated for an alarm condition. Setting this OID to alarmRelay6 (7) causes relay 6 to be activated for an alarm condition. Setting this OID to alarmMinor (8) causes the Minor relay to be activated for an alarm condition. Setting this OID to alarmMajor (9) causes the Major relay to be activated for an alarm condition. Relay Alarm for Major and Minor alarms is not configurable and is always set to alarmMajor and alarmMinor respectively."
dm3ConfigInputRelays,1.3.6.1.4.1.318.1.1.7.2.5.2,,,objectidentity,,""
dm3ConfigInRlyTableSize,1.3.6.1.4.1.318.1.1.7.2.5.2.1,integer,read-only,objecttype,scalar,"The number of DC powerplant Input Relays controllable by this IP address."
dm3ConfigInRlyTable,1.3.6.1.4.1.318.1.1.7.2.5.2.2,,no-access,objecttype,table,"Allows for accessing settings of the Input Relays. The number of entries is contained in the dm3ConfigInRlyTableSize OID."
dm3ConfigInRlyEntry,1.3.6.1.4.1.318.1.1.7.2.5.2.2.1,,no-access,objecttype,row,"The input relay to configure."
dm3ConfigInRlyIndex,1.3.6.1.4.1.318.1.1.7.2.5.2.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant input relay."
dm3ConfigInRlyName,1.3.6.1.4.1.318.1.1.7.2.5.2.2.1.2,displaystring,read-write,objecttype,column,"The name of the input relay. The maximum value is 16 characters."
dm3ConfigInRlyDelay,1.3.6.1.4.1.318.1.1.7.2.5.2.2.1.3,integer,read-write,objecttype,column,"Input Relay Delay. This OID represents the time delay from the initiation of an input relay action to when the input relay action does occur. If the alarm condition disappears before the end of the delay, no action will occur. Values are represented in hundredths of seconds. Attempts to set the value above or below the acceptable range of the powerplant will cause the value to be set at the high or low point of the range respectively."
dm3ConfigInRlyAlarm,1.3.6.1.4.1.318.1.1.7.2.5.2.2.1.4,integer,read-write,objecttype,column,"Input Relay Alarm. This setting indicates what action to perform in the event of an input relay alarm condition; Setting this OID to alarmIgnore (1) results in the alarm condition being ignored. Setting this OID to alarmRelay1 (2) causes relay 1 to be activated for an alarm condition. Setting this OID to alarmRelay2 (3) causes relay 2 to be activated for an alarm condition. Setting this OID to alarmRelay3 (4) causes relay 3 to be activated for an alarm condition. Setting this OID to alarmRelay4 (5) causes relay 4 to be activated for an alarm condition. Setting this OID to alarmRelay5 (6) causes relay 5 to be activated for an alarm condition. Setting this OID to alarmRelay6 (7) causes relay 6 to be activated for an alarm condition. Setting this OID to alarmMinor (8) causes the Minor relay to be activated for an alarm condition. Setting this OID to alarmMajor (9) causes the Major relay to be activated for an alarm condition."
dm3ConfigDistribution,1.3.6.1.4.1.318.1.1.7.2.6,,,objectidentity,,""
dm3ConfigBreakers,1.3.6.1.4.1.318.1.1.7.2.6.1,,,objectidentity,,""
dm3ConfigBreakersTableSize,1.3.6.1.4.1.318.1.1.7.2.6.1.1,integer,read-only,objecttype,scalar,"The number of DC powerplant circuit breakers controllable by this IP address."
dm3ConfigBreakersTable,1.3.6.1.4.1.318.1.1.7.2.6.1.2,,no-access,objecttype,table,"Allows for accessing settings of the circuit breakers. The number of entries is contained in the dm3ConfigBreakersTableSize OID."
dm3ConfigBreakersEntry,1.3.6.1.4.1.318.1.1.7.2.6.1.2.1,,no-access,objecttype,row,"The circuit breaker to configure."
dm3ConfigBreakersIndex,1.3.6.1.4.1.318.1.1.7.2.6.1.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant circuit breaker."
dm3ConfigBreakersName,1.3.6.1.4.1.318.1.1.7.2.6.1.2.1.2,displaystring,read-write,objecttype,column,"The name of the circuit breaker. The maximum value is 16 characters."
dm3ConfigBreakersAlarm,1.3.6.1.4.1.318.1.1.7.2.6.1.2.1.3,integer,read-write,objecttype,column,"Circuit Breaker Alarm. This setting indicates what action to perform in the event of a circuit breaker alarm condition; Setting this OID to alarmIgnore (1) results in the alarm condition being ignored. Setting this OID to alarmRelay1 (2) causes relay 1 to be activated for an alarm condition. Setting this OID to alarmRelay2 (3) causes relay 2 to be activated for an alarm condition. Setting this OID to alarmRelay3 (4) causes relay 3 to be activated for an alarm condition. Setting this OID to alarmRelay4 (5) causes relay 4 to be activated for an alarm condition. Setting this OID to alarmRelay5 (6) causes relay 5 to be activated for an alarm condition. Setting this OID to alarmRelay6 (7) causes relay 6 to be activated for an alarm condition. Setting this OID to alarmMinor (8) causes the Minor relay to be activated for an alarm condition. Setting this OID to alarmMajor (9) causes the Major relay to be activated for an alarm condition."
dm3ConfigFuses,1.3.6.1.4.1.318.1.1.7.2.6.2,,,objectidentity,,""
dm3ConfigFusesTableSize,1.3.6.1.4.1.318.1.1.7.2.6.2.1,integer,read-only,objecttype,scalar,"The number of DC powerplant Fuses controllable by this IP address."
dm3ConfigFusesTable,1.3.6.1.4.1.318.1.1.7.2.6.2.2,,no-access,objecttype,table,"Allows for accessing settings of the Fuses. The number of entries is contained in the dm3ConfigFusesTableSize OID."
dm3ConfigFusesEntry,1.3.6.1.4.1.318.1.1.7.2.6.2.2.1,,no-access,objecttype,row,"The fuse to configure."
dm3ConfigFusesIndex,1.3.6.1.4.1.318.1.1.7.2.6.2.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant fuse."
dm3ConfigFusesName,1.3.6.1.4.1.318.1.1.7.2.6.2.2.1.2,displaystring,read-write,objecttype,column,"The name of the fuse. The maximum value is 16 characters."
dm3ConfigFusesAlarm,1.3.6.1.4.1.318.1.1.7.2.6.2.2.1.3,integer,read-write,objecttype,column,"Fuses Alarm. This setting indicates what action to perform in the event of a Fuse alarm condition; Setting this OID to alarmIgnore (1) results in the alarm condition being ignored. Setting this OID to alarmRelay1 (2) causes relay 1 to be activated for an alarm condition. Setting this OID to alarmRelay2 (3) causes relay 2 to be activated for an alarm condition. Setting this OID to alarmRelay3 (4) causes relay 3 to be activated for an alarm condition. Setting this OID to alarmRelay4 (5) causes relay 4 to be activated for an alarm condition. Setting this OID to alarmRelay5 (6) causes relay 5 to be activated for an alarm condition. Setting this OID to alarmRelay6 (7) causes relay 6 to be activated for an alarm condition. Setting this OID to alarmMinor (8) causes the Minor relay to be activated for an alarm condition. Setting this OID to alarmMajor (9) causes the Major relay to be activated for an alarm condition."
dm3Status,1.3.6.1.4.1.318.1.1.7.3,,,objectidentity,,""
dm3StatusSystem,1.3.6.1.4.1.318.1.1.7.3.1,,,objectidentity,,""
dm3StatusSystemTemp,1.3.6.1.4.1.318.1.1.7.3.1.1,integer,read-only,objecttype,scalar,"System temperature based on sensor on Master Controller PCB. Values are represented in thousandths of a degree. Units are displayed in the scale shown in the 'dm3StatusSysTempUnits' OID (Celsius or Fahrenheit)."
dm3StatusSystemStart,1.3.6.1.4.1.318.1.1.7.3.1.2,displaystring,read-only,objecttype,scalar,"Time stamp at DC powerplant initialization. The time is represented as MMM,DD,YYYY,HH:MM:SS."
dm3StatusSysRemoteAccess,1.3.6.1.4.1.318.1.1.7.3.1.3,integer,read-only,objecttype,scalar,"Remote Access indicator This setting indicates if configuration (write) access to the powerplant is enabled or disabled at the powerplant level. This value will be accessEnabled (1) if remote configuration is enabled, and accessDisabled (2) if remote configuration is disabled."
dm3StatusSysSecurityLevel,1.3.6.1.4.1.318.1.1.7.3.1.4,integer,read-only,objecttype,scalar,"This variable shows the current active security access level of controller. This can only be changed directly from the front panel."
dm3StatusSysTempSanity,1.3.6.1.4.1.318.1.1.7.3.1.5,integer,read-only,objecttype,scalar,"System temperature sanity indicator. Indicates if the system temperature is reasonable. Reasonable is defined based on powerplant type. A value of saneYes (1) indicates temperature is reasonable, a value of saneNo (2) indicates it is not."
dm3StatusSysAlarmState,1.3.6.1.4.1.318.1.1.7.3.1.6,integer,read-only,objecttype,scalar,"System Alarm State. Reflects the alarm status of the overall DC system. If a minor alarm is present, the value will be alarmMinor(1). If a major alarm is present, the value will be alarmMajor(2). If both minor and a major alarm is present, the value will be alarmBoth(3). If no alarm is present, the value will be alarmNone(4)."
dm3StatusSysTempUnits,1.3.6.1.4.1.318.1.1.7.3.1.7,integer,read-only,objecttype,scalar,"The temperature scale used to display the temperature in the DC system, Celsius(1) or Fahrenheit(2). This setting is based on the system preferences configuration in the agent."
dm3StatusAlarms,1.3.6.1.4.1.318.1.1.7.3.2,,,objectidentity,,""
dm3StatusAlarmsTableSize,1.3.6.1.4.1.318.1.1.7.3.2.1,integer,read-only,objecttype,scalar,"The number of DC powerplant alarms viewable by this IP address."
dm3StatusAlarmsTable,1.3.6.1.4.1.318.1.1.7.3.2.2,,no-access,objecttype,table,"Allows for accessing system alarms. The number of entries is contained in the dm3StatusAlarmsTableSize OID."
dm3StatusAlarmsEntry,1.3.6.1.4.1.318.1.1.7.3.2.2.1,,no-access,objecttype,row,"The alarm to display."
dm3StatusAlarmsIndex,1.3.6.1.4.1.318.1.1.7.3.2.2.1.1,integer,read-only,objecttype,column,"The index of the system alarm."
dm3StatusAlarmsText,1.3.6.1.4.1.318.1.1.7.3.2.2.1.2,displaystring,read-only,objecttype,column,"The 16 character text describing the active alarm condition."
dm3StatusBattery,1.3.6.1.4.1.318.1.1.7.3.3,,,objectidentity,,""
dm3StatusBattCurrent,1.3.6.1.4.1.318.1.1.7.3.3.1,integer,read-only,objecttype,scalar,"Battery Current: This OID shows the battery current in thousandths of Amps (mA)."
dm3StatusBattTemp,1.3.6.1.4.1.318.1.1.7.3.3.2,integer,read-only,objecttype,scalar,"Battery Temperature: Values are represented in thousandths of a degree. Units are displayed in the scale shown in the 'dm3StatusSysTempUnits' OID (Celsius or Fahrenheit)."
dm3StatusBattCurrentSanity,1.3.6.1.4.1.318.1.1.7.3.3.3,integer,read-only,objecttype,scalar,"Battery current sanity indicator. Indicates if the battery current is reasonable. Reasonable is defined based on powerplant type. A value of saneYes (1) indicates current is reasonable, a value of saneNo (2) indicates it is not."
dm3StatusBattTempSanity,1.3.6.1.4.1.318.1.1.7.3.3.4,integer,read-only,objecttype,scalar,"Battery temperature sanity indicator. Indicates if the battery temperature is reasonable. Reasonable is defined based on powerplant type. A value of saneYes (1) indicates temperature is reasonable, a value of saneNo (2) indicates it is not."
dm3StatusOEM,1.3.6.1.4.1.318.1.1.7.3.4,,,objectidentity,,""
dm3StatusOEMrectOffset,1.3.6.1.4.1.318.1.1.7.3.4.1,integer,read-only,objecttype,scalar,"This OID shows the rectifier offset value in thousandths of Volts (mV)."
dm3StatusOEMrectGain,1.3.6.1.4.1.318.1.1.7.3.4.2,integer,read-only,objecttype,scalar,"This OID shows the rectifier gain value in thousandths of Volts (mV/V)."
dm3StatusOEMconvOffset,1.3.6.1.4.1.318.1.1.7.3.4.3,integer,read-only,objecttype,scalar,"This OID shows the converter offset value in thousandths of Volts (mV)."
dm3StatusOEMconvGain,1.3.6.1.4.1.318.1.1.7.3.4.4,integer,read-only,objecttype,scalar,"This OID shows the converter gain value in thousandths of Volts (mV/V)."
dm3StatusOEMshuntOffset,1.3.6.1.4.1.318.1.1.7.3.4.5,integer,read-only,objecttype,scalar,"This OID shows the shunt offset value in thousandths of Amps (mA)."
dm3StatusOEMshuntGain,1.3.6.1.4.1.318.1.1.7.3.4.6,integer,read-only,objecttype,scalar,"This OID shows the shunt gain value in thousandths of Amps (mA/A)."
dm3StatusLVD,1.3.6.1.4.1.318.1.1.7.3.5,,,objectidentity,,""
dm3StatusLVDTableSize,1.3.6.1.4.1.318.1.1.7.3.5.1,integer,read-only,objecttype,scalar,"The number of DC powerplant LVDs viewable by this IP address."
dm3StatusLVDTable,1.3.6.1.4.1.318.1.1.7.3.5.2,,no-access,objecttype,table,"Allows for accessing settings of the LVDs. The number of entries is contained in the dm3StatusLVDTableSize OID."
dm3StatusLVDEntry,1.3.6.1.4.1.318.1.1.7.3.5.2.1,,no-access,objecttype,row,"The LVD to gather status from."
dm3StatusLVDIndex,1.3.6.1.4.1.318.1.1.7.3.5.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant LVD."
dm3StatusLVDName,1.3.6.1.4.1.318.1.1.7.3.5.2.1.2,displaystring,read-only,objecttype,column,"The name of the LVD. The maximum size is 16 characters. The name is set by using the dm3ConfigLVDName OID. This OID is provided for informational purposes only."
dm3StatusLVDState,1.3.6.1.4.1.318.1.1.7.3.5.2.1.3,integer,read-only,objecttype,column,"Getting this OID will return statusClosed (1) if the LVD is closed. statusOpened (2) will be returned if the LVD is opened."
dm3StatusLVDHwFault,1.3.6.1.4.1.318.1.1.7.3.5.2.1.4,integer,read-only,objecttype,column,"Getting this OID will return statusFault (1) if the LVD is faulted. statusNofault (2) will be returned if the LVD is not faulted."
dm3StatusPowerModules,1.3.6.1.4.1.318.1.1.7.3.6,,,objectidentity,,""
dm3StatusRectifier,1.3.6.1.4.1.318.1.1.7.3.6.1,,,objectidentity,,""
dm3StatusRectTableSize,1.3.6.1.4.1.318.1.1.7.3.6.1.1,integer,read-only,objecttype,scalar,"The number of DC powerplant rectifiers viewable by this IP address."
dm3StatusRectTable,1.3.6.1.4.1.318.1.1.7.3.6.1.2,,no-access,objecttype,table,"Allows for accessing settings of the rectifiers. The number of entries is contained in the dm3StatusRectTableSize OID."
dm3StatusRectEntry,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1,,no-access,objecttype,row,"The rectifier to gather status from."
dm3StatusRectIndex,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant rectifier."
dm3StatusRectID,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.2,integer,read-only,objecttype,column,"This OID shows the rectifier ID. This enumerates the number of the rectifier within a group of rectifiers."
dm3StatusRectDesc,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.3,displaystring,read-only,objecttype,column,"This OID shows the 16-character rectifier description."
dm3StatusRectCurrent,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.4,integer,read-only,objecttype,column,"This OID shows the rectifier current in thousandths of Amps (mA)."
dm3StatusRectCurrentLimit,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.5,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier is in the Current Limit state. statusFalse (2) will be returned if the rectifier is not in the Current Limit state."
dm3StatusRectStandby,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.6,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier is in the Standby state. statusFalse (2) will be returned if the rectifier is not in the Standby state."
dm3StatusRectFanFail,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.7,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier Fan has failed. statusFalse (2) will be returned if the rectifier Fan has not failed."
dm3StatusRectFail,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.8,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier has failed. statusFalse (2) will be returned if the rectifier has not failed."
dm3StatusRectDevType,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.9,integer,read-only,objecttype,column,"This OID shows the rectifier device type."
dm3StatusRectPhyAddr,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.10,integer,read-only,objecttype,column,"This OID shows the rectifier physical address (the address on the bus)."
dm3StatusRectCfg,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.11,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier is present after power-up or set-configuration. statusFalse (2) will be returned if the rectifier is not configured."
dm3StatusRectPcbRev,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.12,integer,read-only,objecttype,column,"This OID shows the rectifier device PCB serial number."
dm3StatusRectFwVer,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.13,integer,read-only,objecttype,column,"This OID shows the rectifier device firmware revision."
dm3StatusRectPresent,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.14,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier is present. statusFalse (2) will be returned if the rectifier is not present."
dm3StatusRectDiagPass,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.15,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the rectifier diagnostics have passed. statusFalse (2) will be returned if the rectifier diagnostics have not passed."
dm3StatusRectState,1.3.6.1.4.1.318.1.1.7.3.6.1.2.1.16,integer,read-only,objecttype,column,"This OID shows the rectifier device state as defined by the device status register."
dm3StatusSysRectVoltSanity,1.3.6.1.4.1.318.1.1.7.3.6.1.3,integer,read-only,objecttype,scalar,"Rectifier voltage sanity indicator. Indicates if the rectifier voltage is reasonable. Reasonable is defined based on powerplant type. A value of saneYes (1) indicates voltage is reasonable, a value of saneNo (2) indicates it is not."
dm3StatusSysRectAvailable,1.3.6.1.4.1.318.1.1.7.3.6.1.4,integer,read-only,objecttype,scalar,"Getting this OID will return statusTrue (1) if the rectifier is available. statusFalse (2) will be returned if the rectifier is not available."
dm3StatusSysRectType,1.3.6.1.4.1.318.1.1.7.3.6.1.5,integer,read-only,objecttype,scalar,"This OID shows the type of rectifier the system has. There can only be a single type of rectifier in the power plant"
dm3StatusSysRectVoltage,1.3.6.1.4.1.318.1.1.7.3.6.1.6,integer,read-only,objecttype,scalar,"This OID shows the system level rectifier voltage in thousandths of Volts (mV)."
dm3StatusSysRectCurrent,1.3.6.1.4.1.318.1.1.7.3.6.1.7,integer,read-only,objecttype,scalar,"This OID shows the system level rectifier current in thousandths of Amps (mA)."
dm3StatusConverter,1.3.6.1.4.1.318.1.1.7.3.6.2,,,objectidentity,,""
dm3StatusConvTableSize,1.3.6.1.4.1.318.1.1.7.3.6.2.1,integer,read-only,objecttype,scalar,"The number of DC powerplant converters viewable by this IP address."
dm3StatusConvTable,1.3.6.1.4.1.318.1.1.7.3.6.2.2,,no-access,objecttype,table,"Allows for viewing status of the converters. The number of entries is contained in the dm3StatusConvTableSize OID."
dm3StatusConvEntry,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1,,no-access,objecttype,row,"The converter to gather status from."
dm3StatusConvIndex,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant converter."
dm3StatusConvID,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.2,integer,read-only,objecttype,column,"This OID shows the converter ID. This enumerates the number of the converter within a group of converters."
dm3StatusConvDesc,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.3,displaystring,read-only,objecttype,column,"This OID shows the 16 character converter description."
dm3StatusConvCurrent,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.4,integer,read-only,objecttype,column,"This OID shows the converter current in thousandths of Amps (mA)."
dm3StatusConvCurrentLimit,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.5,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter is in the Current Limit state. statusFalse (2) will be returned if the converter is not in the Current Limit state."
dm3StatusConvStandby,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.6,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter is in the Standby state. statusFalse (2) will be returned if the converter is not in the Standby state."
dm3StatusConvFanFail,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.7,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter Fan has failed. statusFalse (2) will be returned if the converter Fan has not failed."
dm3StatusConvFail,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.8,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter has failed. statusFalse (2) will be returned if the converter has not failed."
dm3StatusConvDevType,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.9,integer,read-only,objecttype,column,"This OID shows the converter device type."
dm3StatusConvPhyAddr,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.10,integer,read-only,objecttype,column,"This OID shows the converter physical address (the address on the bus)."
dm3StatusConvCfg,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.11,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter is present after power-up or set-configuration. statusFalse (2) will be returned if the converter is not configured."
dm3StatusConvPcbRev,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.12,integer,read-only,objecttype,column,"This OID shows the converter device PCB serial number."
dm3StatusConvFwVer,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.13,integer,read-only,objecttype,column,"This OID shows the converter device firmware version."
dm3StatusConvPresent,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.14,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter is present. statusFalse (2) will be returned if the converter is not present."
dm3StatusConvDiagPass,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.15,integer,read-only,objecttype,column,"Getting this OID will return statusTrue (1) if the converter diagnostics have passed. statusFalse (2) will be returned if the converter diagnostics have not passed."
dm3StatusConvState,1.3.6.1.4.1.318.1.1.7.3.6.2.2.1.16,integer,read-only,objecttype,column,"This OID shows the converter state as defined by the device status register."
dm3StatusSysConvVoltSanity,1.3.6.1.4.1.318.1.1.7.3.6.2.3,integer,read-only,objecttype,scalar,"Converter voltage sanity indicator. Indicates if the converter voltage is reasonable. Reasonable is defined based on powerplant type. A value of saneYes (1) indicates voltage is reasonable, a value of saneNo (2) indicates it is not."
dm3StatusSysConvAvailable,1.3.6.1.4.1.318.1.1.7.3.6.2.4,integer,read-only,objecttype,scalar,"Getting this OID will return statusTrue (1) if the converter is available. statusFalse (2) will be returned if the converter is not available."
dm3StatusSysConvType,1.3.6.1.4.1.318.1.1.7.3.6.2.5,integer,read-only,objecttype,scalar,"This OID shows the converter type."
dm3StatusSysConvVoltage,1.3.6.1.4.1.318.1.1.7.3.6.2.6,integer,read-only,objecttype,scalar,"This OID shows the system level converter voltage in thousandths of volts (mV)."
dm3StatusSysConvCurrent,1.3.6.1.4.1.318.1.1.7.3.6.2.7,integer,read-only,objecttype,scalar,"This OID shows the system level converter current in thousandths of Amps (mA)."
dm3StatusRelays,1.3.6.1.4.1.318.1.1.7.3.7,,,objectidentity,,""
dm3StatusOutputRelays,1.3.6.1.4.1.318.1.1.7.3.7.1,,,objectidentity,,""
dm3StatusOutRlyTableSize,1.3.6.1.4.1.318.1.1.7.3.7.1.1,integer,read-only,objecttype,scalar,"The number of DC powerplant output relays viewable by this IP address."
dm3StatusOutRlyTable,1.3.6.1.4.1.318.1.1.7.3.7.1.2,,no-access,objecttype,table,"Allows for viewing status of the output relays. The number of entries is contained in the dm3StatusOutRlyTableSize OID."
dm3StatusOutRlyEntry,1.3.6.1.4.1.318.1.1.7.3.7.1.2.1,,no-access,objecttype,row,"The output relay to gather status from."
dm3StatusOutRlyIndex,1.3.6.1.4.1.318.1.1.7.3.7.1.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant output relay."
dm3StatusOutRlyName,1.3.6.1.4.1.318.1.1.7.3.7.1.2.1.2,displaystring,read-only,objecttype,column,"The name of the output relay. The maximum size is 16 characters. The name is set by using the dm3ConfigOutRlyName OID. This OID is provided for informational purposes only."
dm3StatusOutRlyStatus,1.3.6.1.4.1.318.1.1.7.3.7.1.2.1.3,integer,read-only,objecttype,column,"Getting this OID will return statusOn (1) if the output relay is enabled/on. statusOff (2) will be returned if the output relay is disabled/off."
dm3StatusInputRelays,1.3.6.1.4.1.318.1.1.7.3.7.2,,,objectidentity,,""
dm3StatusInRlyTableSize,1.3.6.1.4.1.318.1.1.7.3.7.2.1,integer,read-only,objecttype,scalar,"The number of DC powerplant input relays viewable by this IP address."
dm3StatusInRlyTable,1.3.6.1.4.1.318.1.1.7.3.7.2.2,,no-access,objecttype,table,"Allows for viewing status of the input relays. The number of entries is contained in the dm3StatusInRlyTableSize OID."
dm3StatusInRlyEntry,1.3.6.1.4.1.318.1.1.7.3.7.2.2.1,,no-access,objecttype,row,"The input relays to gather status from."
dm3StatusInRlyIndex,1.3.6.1.4.1.318.1.1.7.3.7.2.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant input relay."
dm3StatusInRlyName,1.3.6.1.4.1.318.1.1.7.3.7.2.2.1.2,displaystring,read-only,objecttype,column,"The name of the input relay. The maximum size is 16 characters. The name is set by using the dm3ConfigInRlyName OID. This OID is provided for informational purposes only."
dm3StatusInRlyStatus,1.3.6.1.4.1.318.1.1.7.3.7.2.2.1.3,integer,read-only,objecttype,column,"Getting this OID will return statusOn (1) if the input relay is enabled/on. statusOff (2) will be returned if the input relay is disabled/off."
dm3StatusDistribution,1.3.6.1.4.1.318.1.1.7.3.8,,,objectidentity,,""
dm3StatusBreakers,1.3.6.1.4.1.318.1.1.7.3.8.1,,,objectidentity,,""
dm3StatusBreakersTableSize,1.3.6.1.4.1.318.1.1.7.3.8.1.1,integer,read-only,objecttype,scalar,"The number of DC powerplant circuit breakers viewable by this IP address."
dm3StatusBreakersTable,1.3.6.1.4.1.318.1.1.7.3.8.1.2,,no-access,objecttype,table,"Allows for viewing status of the circuit breakers. The number of entries is contained in the dm3StatusBreakersTableSize OID."
dm3StatusBreakersEntry,1.3.6.1.4.1.318.1.1.7.3.8.1.2.1,,no-access,objecttype,row,"The circuit breaker to gather status from."
dm3StatusBreakersIndex,1.3.6.1.4.1.318.1.1.7.3.8.1.2.1.1,integer,read-only,objecttype,column,"The index to the DC powerplant circuit breaker."
dm3StatusBreakersName,1.3.6.1.4.1.318.1.1.7.3.8.1.2.1.2,displaystring,read-only,objecttype,column,"The name of the circuit breaker. The maximum size is 16 characters. The name is set by using the dm3ConfigBreakersName OID. This OID is provided for informational purposes only."
dm3StatusBreakersStatus,1.3.6.1.4.1.318.1.1.7.3.8.1.2.1.3,integer,read-only,objecttype,column,"Getting this OID will return statusClosed (1) if the circuit breaker is closed. statusOpen (2) will be returned if the circuit breaker is open."
